net,length_um
path_sel[0],55.64µm
path_sel[1],47.385µm
rst,43.3µm
tdo,39.38µm
delay_sel[2],35.47µm
path_sel[2],34.96µm
path[7],34.75µm
delay_sel[1],32.19µm
dc_inst.x5.net12,26.56µm
dc_inst.in,26.47µm
path[6],26.01µm
_00_,23.32µm
delay_sel[0],20.93µm
dc_inst.x5.net6,19.52µm
dc_inst.net4,19.2µm
dc_inst.x5.net3,18.6µm
se,17.54µm
dc_inst.x7.net4,17.18µm
path[5],16.38µm
path[0],15.03µm
clknet_1_1__leaf_clk,14.9µm
dc_inst.x7.net1,14.76µm
tdi,13.54µm
_02_,13.11µm
dc_inst.x5.net7,13µm
clk,12.96µm
dc_inst.net1,12.84µm
clknet_1_0__leaf_clk,12.26µm
clknet_0_clk,11.54µm
dc_inst.net5,11.3µm
dc_inst.x5.net9,11.02µm
dc_inst.x4.net5,10.96µm
path[3],10.29µm
dc_inst.x7.net3,10.1µm
dc_inst.x7.net2,9.9µm
dc_inst.net8,9.52µm
dc_inst.x6.net2,9.28µm
dc_inst.x1.net3,9.2µm
dc_inst.x3.net14,9.12µm
dc_inst.x5.net19,8.96µm
dc_inst.x7.net19,8.96µm
dc_inst.x3.net12,8.9µm
dc_inst.net3,8.58µm
dc_inst.net6,8.09µm
dc_inst.x3.net11,8.06µm
dc_inst.x6.net6,8.06µm
dc_inst.x5.net2,8.02µm
dc_inst.x1.net15,7.92µm
dc_inst.x1.net17,7.66µm
dc_inst.x1.net4,7.64µm
dc_inst.x1.net2,7.52µm
_07_,7.48µm
dc_inst.x1.net7,7.44µm
dc_inst.x3.net2,7.22µm
dc_inst.x7.net12,7.14µm
dc_inst.net2,6.95µm
path[4],6.89µm
dc_inst.x1.net11,6.72µm
dc_inst.x7.net18,6.54µm
path[1],6.43µm
dc_inst.x3.net17,6.315µm
dc_inst.x1.net12,6.3µm
dc_inst.x6.net17,6.28µm
capture_d,5.46µm
_10_,5.34µm
dc_inst.x3.net1,5.34µm
dc_inst.x3.net13,5.34µm
path[2],5.31µm
dc_inst.x1.net8,5.22µm
dc_inst.x2.net6,5.22µm
_08_,4.975µm
dc_inst.x4.net16,4.88µm
dc_inst.x2.net10,4.82µm
dc_inst.x4.net14,4.82µm
dc_inst.x3.net6,4.8µm
dc_inst.x4.net13,4.8µm
dc_inst.x5.net1,4.8µm
dc_inst.x6.net14,4.8µm
dc_inst.x4.net17,4.76µm
dc_inst.net7,4.46µm
dc_inst.x1.net18,4.46µm
dc_inst.x3.net3,4.46µm
shadow_q,4.46µm
dc_inst.x1.net9,4.42µm
dc_inst.x4.net19,4.42µm
dc_inst.x1.net5,4.34µm
dc_inst.x2.net12,4.22µm
dc_inst.x2.net18,4.22µm
_01_,3.98µm
dc_inst.x5.net5,3.9µm
dc_inst.x7.net10,3.9µm
dc_inst.x4.net7,3.88µm
dc_inst.x6.net10,3.78µm
_04_,3.68µm
dc_inst.x7.net6,3.54µm
dc_inst.x1.net14,3.44µm
dc_inst.x1.net6,3.44µm
dc_inst.x4.net18,3.44µm
dc_inst.x6.net12,3.44µm
dc_inst.x1.net10,3.42µm
dc_inst.x2.net7,3.42µm
dc_inst.x3.net7,3.42µm
dc_inst.net9,3.32µm
dc_inst.x1.net16,3.08µm
dc_inst.x2.net15,3.08µm
dc_inst.x3.net19,3.08µm
_06_,2.96µm
dc_inst.x3.net16,2.96µm
dc_inst.x5.net14,2.96µm
dc_inst.x5.net17,2.96µm
_05_,2.72µm
dc_inst.x4.net1,2.52µm
dc_inst.x4.net15,2.52µm
dc_inst.x4.net4,2.52µm
dc_inst.x4.net8,2.52µm
dc_inst.x7.net14,2.52µm
_09_,2.5µm
dc_inst.x2.net2,2.5µm
dc_inst.x3.net5,2.5µm
dc_inst.x7.net11,2.5µm
_03_,2.21µm
dc_inst.x3.net8,2.16µm
dc_inst.x3.net9,2.16µm
dc_inst.x4.net2,2.16µm
dc_inst.x4.net9,2.16µm
dc_inst.x6.net11,2.16µm
dc_inst.x6.net7,2.16µm
dc_inst.x7.net9,2.16µm
dc_inst.x1.net13,2.06µm
dc_inst.x2.net11,2.06µm
dc_inst.x2.net13,2.06µm
dc_inst.x2.net5,2.06µm
dc_inst.x4.net10,2.06µm
dc_inst.x4.net12,2.06µm
dc_inst.x4.net3,2.06µm
dc_inst.x4.net6,2.06µm
dc_inst.x5.net10,2.06µm
dc_inst.x5.net13,2.06µm
dc_inst.x5.net15,2.06µm
dc_inst.x5.net4,2.06µm
dc_inst.x5.net8,2.06µm
dc_inst.x6.net1,2.06µm
dc_inst.x6.net13,2.06µm
dc_inst.x6.net16,2.06µm
dc_inst.x6.net18,2.06µm
dc_inst.x6.net3,2.06µm
dc_inst.x6.net5,2.06µm
dc_inst.x7.net17,2.06µm
dc_inst.x7.net5,2.06µm
dc_inst.x2.net14,2.04µm
dc_inst.x2.net17,2.04µm
dc_inst.x3.net10,2.04µm
dc_inst.x6.net8,2.04µm
capture_q,1.72µm
dc_inst.x1.net19,1.7µm
dc_inst.x5.net11,1.7µm
dc_inst.x5.net16,1.7µm
dc_inst.x7.net13,1.7µm
dc_inst.x1.net1,1.14µm
dc_inst.x2.net1,1.14µm
dc_inst.x2.net16,1.14µm
dc_inst.x2.net19,1.14µm
dc_inst.x2.net3,1.14µm
dc_inst.x2.net4,1.14µm
dc_inst.x2.net8,1.14µm
dc_inst.x2.net9,1.14µm
dc_inst.x3.net15,1.14µm
dc_inst.x3.net18,1.14µm
dc_inst.x3.net4,1.14µm
dc_inst.x4.net11,1.14µm
dc_inst.x5.net18,1.14µm
dc_inst.x6.net15,1.14µm
dc_inst.x6.net19,1.14µm
dc_inst.x6.net4,1.14µm
dc_inst.x6.net9,1.14µm
dc_inst.x7.net15,1.14µm
dc_inst.x7.net16,1.14µm
dc_inst.x7.net7,1.14µm
dc_inst.x7.net8,1.14µm
